Název;Autor;Spoluautoři;Druh;Deponováno;SystemovéČíslo;EvidenřníČísloFEL;ČísloOddělení;ČárovýKód;Stran;Vydání;Rok;Vydavatel;Země;ISBNorISSN;ČísloČasopisu;RočníkČasopisu;Konference;Cena;KlíčováSlova;Poznámka;Vloženo;Zapůjčeno;ZapůjčenoOd;ZapůjčenoDo;Extra1;Extra1;Extra1;Extra1;Extra1
Zpracování strukturovaných dokumentů II.;Tauchman, Vít;;diplomová / bakalářská práce;Katedra;;;;;58;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Zpracování strukturovaných dokumentů I.;Tauchman, Vít;;diplomová / bakalářská práce;Katedra;980410;;;980410-10;58;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Znalostní podpora lékařské diagnostiky II.;Čepek, Jan;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Znalostní podpora lékařské diagnostiky I.;Čepek, Jan;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Využití počítačové grafiky pro vizualizaci dat II.;Marhold, Jiří;;diplomová / bakalářská práce;Katedra;;;;;41;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Využití počítačové grafiky pro vizualizaci dat I.;Marhold, Jiří;;diplomová / bakalářská práce;Katedra;980289;;;980289-10;41;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vytvoření nástroje pro podporu práce se sysémem LabVIEW II.;Kožuško, Jan;;diplomová / bakalářská práce;Katedra;;;;;76;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vytvoření nástroje pro podporu práce se sysémem LabVIEW I.;Kožuško, Jan;;diplomová / bakalářská práce;Katedra;980519;;;980519-10;76;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vytvoření algoritmů pro analýzu záznamů regionálního krevního průtoku mozkem - II.;Šabacký, Jaroslav;;diplomová / bakalářská práce;Katedra;;;;;26;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;volná;;;;;;;
Vytvoření algoritmů pro analýzu záznamů regionálního krevního průtoku mozkem - I.;Šabacký, Jaroslav;;diplomová / bakalářská práce;Katedra;;;;;26;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;vč.CD;;volná;;;;;;;
Vyhodnocování EEG metodami umělé inteligence II.;Bukartyk, Jiří;;diplomová / bakalářská práce;Katedra;;;;;60;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
